# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_12;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
182973345765.04;274214635.77;12360.06;1.00;1.01;141.72;5.75;103.15;7.22;141.36;960.23;102574.16;11807.99;35238.39;121781.16;0.01;1746.78;950.77;0.00;-33505.49;-120909.77;-0.02;0.00;0.00;0.00
204629179542.01;234468465.06;11775.41;0.99;1.03;135.21;5.85;103.15;7.09;138.03;930.45;92881.84;8173.48;29421.80;101181.84;0.01;1664.11;905.77;0.00;-27552.77;-99706.27;-0.01;0.00;0.00;0.00
215382825170.58;238334674.37;13746.79;1.01;0.90;139.30;5.82;98.96;7.28;139.56;930.49;85729.45;10236.93;30237.51;105431.29;0.01;1942.66;1057.38;0.00;-28793.42;-105514.30;-0.02;0.00;0.00;0.00
208686141586.36;274673264.87;12635.64;1.02;0.92;143.54;5.81;98.87;7.33;145.05;960.38;118048.10;10111.07;36219.75;124882.93;0.01;1785.64;971.92;0.00;-35397.59;-126821.82;-0.02;0.00;0.00;0.00
208813426574.49;232876735.89;11222.11;0.99;0.99;137.58;5.84;102.14;7.13;143.04;930.47;120174.30;9382.52;30283.13;102025.22;0.01;1585.96;863.23;0.00;-28341.22;-99917.67;-0.01;0.00;0.00;0.00
199261923389.64;247198016.30;12014.34;0.95;1.02;138.00;5.68;103.63;6.96;137.70;909.55;111337.45;9162.44;30945.65;105769.80;0.01;1697.89;924.15;0.00;-27646.27;-99456.88;-0.01;0.00;0.00;0.00
192241266172.70;241667314.86;12804.53;1.01;1.01;137.93;5.69;99.40;7.11;137.93;919.67;94696.92;9651.31;30303.16;103465.79;0.01;1809.52;984.92;0.00;-28742.36;-103383.26;-0.02;0.00;0.00;0.00
230096892140.27;247221590.92;12889.96;1.01;1.04;140.32;5.71;104.21;7.02;137.53;919.10;95245.21;9859.96;30909.97;107962.30;0.01;1821.55;991.46;0.00;-29330.29;-108043.65;-0.02;0.00;0.00;0.00
209409278242.19;246799269.73;10869.37;1.02;1.01;138.20;5.62;99.53;7.28;142.00;942.26;93328.47;10333.12;31859.32;104531.91;0.01;1536.05;836.08;0.00;-30949.09;-105799.55;-0.02;0.00;0.00;0.00
208628935601.42;222828588.51;12981.36;1.00;1.03;134.88;5.74;104.81;7.00;137.95;925.31;95212.93;9855.53;27944.38;94063.10;0.01;1834.55;998.54;0.00;-25951.75;-92712.79;-0.01;0.00;0.00;0.00
197532955991.62;246750667.56;12262.24;1.11;0.96;135.80;5.85;99.23;7.13;140.03;918.42;99170.91;9439.98;31410.87;106987.25;0.01;1732.93;943.23;0.00;-33286.66;-118150.43;-0.02;0.00;0.00;0.00
197868219515.51;257105133.41;13233.06;1.05;1.08;134.16;5.75;103.13;6.94;141.07;905.69;90354.01;10453.77;32971.70;108171.90;0.01;1870.16;1017.92;0.00;-32432.13;-111949.30;-0.02;0.00;0.00;0.00
186071715409.67;268450932.00;15686.46;0.98;1.10;139.27;5.71;102.53;7.05;139.55;928.25;112781.79;9050.90;34057.59;116433.27;0.01;2216.83;1206.62;0.00;-30785.66;-112257.64;-0.01;0.00;0.00;0.00
183309177279.23;242665945.18;12259.13;1.03;0.94;139.18;5.75;104.60;6.85;138.67;936.05;95525.63;10027.71;30591.28;105867.80;0.01;1732.50;943.00;0.00;-29777.91;-107805.87;-0.02;0.00;0.00;0.00
