# X_0;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;R_0;R_1;R_2;S_0;S_1;S_2;G_0;G_1;G_2;I_0;I_1;I_2
193361818456.36;251681674.66;21326.09;1.00;1.00;125.83;5.90;105.80;7.33;151.26;961.69;34593.41;101853.59;0.01;23411.42;21382.36;0.00;-11181.99;-80471.23;-0.01;0.00;0.00;0.00
207875030582.77;260211070.69;17809.85;0.98;0.97;138.73;5.71;100.75;6.61;150.11;913.97;34739.70;110089.51;0.01;18923.97;17283.83;0.00;-15815.72;-92805.68;-0.01;0.00;0.00;0.00
192348497477.65;252047079.25;25349.13;1.02;1.00;142.18;5.62;101.93;7.69;140.78;1002.31;32825.35;111874.93;0.02;27813.16;25402.59;0.00;-5012.19;-86472.34;-0.02;0.00;0.00;0.00
227546228807.11;261906126.28;18918.15;1.05;0.99;142.23;5.62;99.52;7.28;141.66;918.85;35496.49;120186.85;0.02;20577.66;18794.19;0.00;-14918.84;-101392.66;-0.02;0.00;0.00;0.00
186766019220.62;239366233.20;20272.77;1.00;1.03;150.72;5.63;105.97;6.96;143.62;973.02;31263.14;110797.13;0.02;22848.01;20867.77;0.00;-8415.13;-89929.36;-0.02;0.00;0.00;0.00
208938381748.25;247750042.01;20710.94;0.95;1.00;132.24;5.70;104.96;7.10;141.92;943.33;30309.32;96598.15;0.01;22610.90;20651.21;0.00;-7698.42;-75946.94;-0.01;0.00;0.00;0.00
179952179558.84;246919957.58;19578.22;1.03;1.01;142.63;5.78;97.95;7.18;136.00;867.94;31345.82;114101.10;0.02;21570.02;19700.54;0.00;-9775.80;-94400.56;-0.02;0.00;0.00;0.00
188319848749.52;245650009.51;19382.25;1.00;0.97;136.71;5.80;102.28;7.22;152.68;913.16;34180.00;106557.30;0.02;20592.28;18807.54;0.00;-13587.72;-87749.75;-0.02;0.00;0.00;0.00
196723799349.21;230461386.93;22235.75;1.00;1.00;150.36;6.08;104.87;6.91;141.96;906.35;29644.09;114554.50;0.01;24320.31;22212.46;0.00;-5323.78;-92342.04;-0.01;0.00;0.00;0.00
219985437494.61;256273253.07;21419.85;1.02;1.02;148.45;6.34;99.68;7.81;139.58;946.96;33044.86;133693.76;0.02;23962.68;21885.83;0.00;-9082.18;-111807.93;-0.02;0.00;0.00;0.00
203178688029.87;280255002.49;17872.71;0.93;0.99;134.01;6.25;102.42;6.80;147.14;913.45;34679.22;118461.64;0.01;19442.60;17757.51;0.00;-15236.62;-100704.13;-0.01;0.00;0.00;0.00
191833005912.04;227580994.82;20532.47;0.96;1.01;133.57;6.15;93.78;6.96;137.25;905.86;27239.95;97827.93;0.01;22637.46;20675.47;0.00;-4602.49;-77152.46;-0.01;0.00;0.00;0.00
187395487675.18;259843622.80;20500.49;1.00;1.02;137.61;6.14;100.71;6.99;146.06;993.83;34441.90;119532.66;0.01;22988.91;20996.46;0.00;-11452.99;-98536.20;-0.01;0.00;0.00;0.00
191873993199.04;264026965.20;21450.92;0.98;0.98;139.19;5.94;104.10;6.51;154.97;874.05;36351.38;116354.21;0.01;22962.95;20972.75;0.00;-13388.42;-95381.45;-0.01;0.00;0.00;0.00
198996591076.80;237008807.78;20830.99;0.97;0.99;145.26;5.89;104.79;6.91;149.52;982.56;31132.12;106892.86;0.01;22624.07;20663.24;0.00;-8508.05;-86229.61;-0.01;0.00;0.00;0.00
209721714562.98;245552241.24;15565.71;1.02;0.97;133.04;5.26;100.12;7.29;140.59;954.69;32068.87;95759.54;0.02;16608.43;15168.98;0.00;-15460.44;-80590.56;-0.02;0.00;0.00;0.00
193464789126.69;247264462.93;18616.76;0.97;0.98;143.51;5.28;98.96;7.40;125.89;1003.99;27340.00;98643.54;0.01;19941.12;18212.82;0.00;-7398.89;-80430.72;-0.01;0.00;0.00;0.00
200313905874.81;246391980.92;20024.25;0.94;0.97;140.85;5.30;101.70;7.22;143.86;919.95;30297.82;94309.18;0.01;21190.19;19353.63;0.00;-9107.63;-74955.55;-0.01;0.00;0.00;0.00
196349622360.80;262287415.44;21270.13;0.99;1.01;136.69;5.68;97.16;7.12;136.23;903.93;32010.87;109465.30;0.01;23506.80;21469.46;0.00;-8504.07;-87995.83;-0.01;0.00;0.00;0.00
204483302079.57;237955178.43;22051.41;0.97;0.97;129.37;5.65;107.32;6.85;131.48;935.45;27604.81;92029.47;0.01;23376.83;21350.76;0.00;-4227.98;-70678.71;-0.01;0.00;0.00;0.00
217558769801.09;233322138.52;20510.54;1.01;0.96;129.00;5.86;98.75;7.37;131.85;899.91;28219.78;97103.74;0.02;21618.25;19744.60;0.00;-6601.52;-77359.14;-0.02;0.00;0.00;0.00
197628398153.44;252729388.65;22205.23;1.04;1.03;135.41;5.75;105.44;6.77;149.19;976.16;35503.68;111246.98;0.02;25127.40;22949.61;0.00;-10376.28;-88297.37;-0.02;0.00;0.00;0.00
207759640532.28;231728202.18;19128.44;1.01;1.00;133.44;6.31;103.22;7.90;131.74;942.31;27987.57;107274.24;0.02;20935.30;19120.84;0.00;-7052.28;-88153.40;-0.02;0.00;0.00;0.00
179310562793.10;250850656.56;17904.17;0.99;1.01;142.37;5.99;94.61;7.14;134.54;975.80;30479.43;115964.56;0.01;19829.20;18110.61;0.00;-10650.22;-97853.95;-0.01;0.00;0.00;0.00
181254469143.12;267871274.17;24000.47;1.02;1.00;138.83;5.71;108.24;6.81;148.80;945.33;36944.93;118006.84;0.02;26189.36;23919.53;0.00;-10755.58;-94087.31;-0.02;0.00;0.00;0.00
205090151426.10;257348154.36;21246.24;1.02;0.97;143.80;5.30;99.42;7.48;130.30;894.27;31154.87;109416.43;0.02;22641.20;20678.89;0.00;-8513.67;-88737.55;-0.02;0.00;0.00;0.00
